,Inputh Depth,Output Depth,Area Membership
0,335.41087591267336,349.8348357989109,RL
1,295.5875965637324,349.8348357989109,V1
2,309.88095084830576,349.8348357989109,RL
3,344.8169763114979,349.8348357989109,V1
4,403.54312189151005,349.8348357989109,RL
5,284.47995507791086,349.8348357989109,V1
6,404.6175890918414,349.8348357989109,RL
7,404.6175890918414,349.8348357989109,RL
8,404.6175890918414,349.8348357989109,RL
9,404.6175890918414,349.8348357989109,RL
10,363.09019742597656,349.8348357989109,RL
11,158.54056961173757,349.8348357989109,AL
12,316.40763596701106,349.8348357989109,V1
13,335.40344817181426,349.8348357989109,V1
14,335.40344817181426,349.8348357989109,V1
15,335.40344817181426,349.8348357989109,V1
16,310.11539895044274,349.8348357989109,V1
17,274.12750726644794,349.8348357989109,RL
18,250.37906355441473,349.8348357989109,V1
19,250.37906355441473,349.8348357989109,V1
20,250.37906355441473,349.8348357989109,V1
21,265.641308409278,349.8348357989109,V1
22,220.1972000345919,349.8348357989109,RL
23,220.1972000345919,349.8348357989109,RL
24,265.79309861785435,349.8348357989109,RL
25,404.9282206175363,349.8348357989109,RL
26,404.9282206175363,349.8348357989109,RL
27,404.9282206175363,349.8348357989109,RL
28,308.2140053564992,349.8348357989109,V1
29,273.7818753924232,349.8348357989109,RL
30,302.16139018320786,349.8348357989109,V1
31,302.16139018320786,349.8348357989109,V1
32,405.67980174143656,349.8348357989109,RL
33,331.2954339601367,349.8348357989109,V1
34,267.85550105919174,349.8348357989109,AL
35,267.85550105919174,349.8348357989109,V1
36,383.8601215908763,349.8348357989109,V1
37,131.9604551610031,349.8348357989109,RL
38,462.15374863908403,477.2216892534821,RL
39,462.15374863908403,477.2216892534821,V1
40,238.35365940964707,477.2216892534821,AL
41,238.35365940964707,477.2216892534821,V1
42,463.11356380838987,477.2216892534821,RL
43,390.6437974426264,477.2216892534821,RL
44,427.0781286426869,477.2216892534821,RL
45,387.51649337103737,477.2216892534821,RL
46,387.51649337103737,477.2216892534821,RL
47,422.604801318877,477.2216892534821,RL
48,263.6110433432389,477.2216892534821,RL
49,95.59138379042474,477.2216892534821,V1
50,194.39852196251422,477.2216892534821,LM
51,405.8411299260138,477.2216892534821,RL
52,419.75581793205345,477.2216892534821,RL
53,240.24022616943944,477.2216892534821,V1
54,469.23693188948715,477.2216892534821,V1
55,253.10804823018523,477.2216892534821,V1
56,471.4627409425136,477.2216892534821,RL
57,240.8884549619626,477.2216892534821,V1
58,298.0966125135108,477.2216892534821,V1
59,514.5738133402872,477.2216892534821,RL
60,322.2311205438822,477.2216892534821,V1
61,383.90280803490856,477.2216892534821,AL
62,479.00952890532096,477.2216892534821,RL
63,156.06562886025577,477.2216892534821,RL
64,397.04158138818184,477.2216892534821,AL
65,397.04158138818184,477.2216892534821,AL
66,465.846016743298,477.2216892534821,V1
67,380.3643539049691,477.2216892534821,RL
