pt_root_id,Area Membership
864691135738685297,V1
864691135614842827,V1
864691135502985397,V1
864691135387371905,V1
864691135661410544,V1
864691135349275351,V1
864691137197706305,V1
864691137197706305,V1
864691136602371025,V1
864691136602371025,V1
864691135065322052,V1
864691135731072697,V1
864691135565275479,V1
864691136194984268,V1
864691135938356484,V1
864691135975395439,V1
864691136923754212,V1
864691136923754212,V1
864691136619416973,V1
864691136673575047,V1
864691135544785448,V1
864691135272867601,V1
864691135272867601,V1
864691135272867601,V1
864691135577813765,V1
864691136309871706,V1
864691135737772676,V1
864691135866987798,V1
864691135759371086,V1
864691135013895574,V1
864691136145003159,V1
864691135407816393,V1
864691136119541016,V1
864691135463695429,V1
864691135841932515,RL
864691135725228203,V1
864691135133547168,V1
864691137020483694,V1
864691136379765205,V1
864691135233954137,V1
864691136324904087,V1
864691135195405354,V1
864691135494448016,V1
864691136085179244,V1
864691136085179244,V1
864691135292343990,V1
864691136195216460,V1
864691135416661690,V1
864691134940425315,V1
864691136991031445,V1
864691135684176114,V1
864691135954810888,V1
864691135275203557,V1
864691135100947488,V1
864691135926647252,V1
864691135919483824,V1
864691135856136750,V1
864691135292589750,V1
864691136264144612,V1
864691136264144612,V1
864691135577818373,V1
864691135361193287,V1
864691135564667223,V1
864691136051479539,V1
864691136311934269,V1
864691136143415348,V1
864691135810264268,V1
864691135349171415,V1
864691136091843252,V1
864691135257104047,V1
864691135571803629,V1
864691135571803629,V1
864691135469098066,V1
864691136522579345,V1
864691136011607715,V1
864691135270385061,V1
864691135346123935,V1
864691135257091247,V1
864691135582500973,V1
864691135582562669,V1
864691136724488189,V1
864691135889813897,V1
864691135754915533,V1
864691135583703160,V1
864691136021058296,V1
864691134989251194,V1
864691135404631790,V1
864691135889334153,V1
864691136602585297,V1
864691135575132958,V1
864691135940566182,V1
864691135526807899,V1
864691135755456466,V1
864691135279069601,V1
864691135210062784,V1
864691135951958819,V1
864691135645401583,V1
864691135565618007,V1
864691135472966706,V1
864691135491135079,V1
864691135491207007,V1
864691135777058477,V1
864691135468138124,V1
864691135946775076,V1
864691135278726305,V1
864691137053668214,V1
864691134940795747,V1
864691136100839029,V1
864691136108732088,V1
864691135700192546,V1
864691136195052364,V1
864691135617054313,V1
864691135776870829,V1
864691135572259365,V1
864691136990488725,V1
864691135867652118,V1
864691136194305100,V1
864691136672682375,V1
864691135816215631,V1
864691135584659320,V1
864691135772627019,V1
864691136011784867,V1
864691136124470822,V1
864691136008998830,V1
864691134948165628,V1
864691136904073906,V1
